Athena IP : Projection UTM Zone 10N; Datum NAD83
Patch:   L4250
Timing(ms)= 40:60,60:80,80:120,120:160,160:200,200:240,240:320,320:400,400:480,480:560,560:640,640:720,720:800,800:960,960:1120,1120:1280,1280:1440,1440:1600,1600:1760,1760:1920;Integration Window - 40:1920(ms)
Units: Vp = mV, Vs = mV, In = mA, Mx = mV/V, Rho = ohm-m
   RDG    DIPOLE     Status     a        TxFile      Tx1East     Tx1North      Tx1Elev         Tx1x         Tx1y      Tx2East     Tx2North      Tx2Elev        Rx1File      Rx1East     Rx1North      Rx1Elev         Rx1x         Rx1y        Rx2File      Rx2East     Rx2North      Rx2Elev         Rx2x         Rx2y      Contact         Vp         Vp_err           In       In_err          Rho       Rho_QC             k         Coupling      Stack      TimeBase       Mx   Mx_err    Mx_QC         Vs01        Vs02        Vs03        Vs04        Vs05        Vs06        Vs07        Vs08        Vs09        Vs10        Vs11        Vs12        Vs13        Vs14        Vs15        Vs16        Vs17        Vs18        Vs19        Vs20
    81       11     Good      202  DL000684.raw   650299.473  5594249.677     1161.428         4250        10300   649495.000  5590111.000     1413.000   PK002496.DAT   650999.710  5594250.506     1166.985         4250        11000   QH003823.DAT   651200.019  5594249.798     1191.855         4250        11200        0.000      -66.280        0.000    -1605.396         0.00       824.35       Accept      19966.823         96.156          92          2000      4.5     0.00   Accept       -0.977      -0.896      -0.798      -0.693      -0.603      -0.573      -0.504      -0.443      -0.403      -0.366      -0.325      -0.272      -0.284      -0.250      -0.225      -0.193      -0.169      -0.172      -0.143      -0.132
    81       12     Good      201  DL000684.raw   650299.473  5594249.677     1161.428         4250        10300   649495.000  5590111.000     1413.000   PP003540.DAT   649599.681  5594243.496     1222.649         4250         9600   SU004562.DAT   649400.299  5594249.187     1244.592         4250         9400        0.000      -51.363        0.000    -1605.396         0.00       636.48       Accept      19893.896         97.033          92          2000      4.0     0.00   Accept       -0.639      -0.592      -0.514      -0.454      -0.417      -0.382      -0.341      -0.297      -0.270      -0.239      -0.230      -0.211      -0.192      -0.177      -0.153      -0.138      -0.128      -0.107      -0.110      -0.100
    81       13     Good      203  DL000684.raw   650299.473  5594249.677     1161.428         4250        10300   649495.000  5590111.000     1413.000   VJ000075.DAT   649801.394  5594253.342     1203.853         4250         9800   PP003540.DAT   649599.681  5594243.496     1222.649         4250         9600        0.000      -61.340        0.000    -1615.161         0.00       412.76       Accept      10868.375         95.885          96          2000      3.0     0.00   Accept       -0.565      -0.510      -0.457      -0.408      -0.375      -0.343      -0.310      -0.273      -0.248      -0.221      -0.205      -0.197      -0.174      -0.158      -0.136      -0.123      -0.114      -0.099      -0.096      -0.087
    81       14     Good      202  DL000684.raw   650299.473  5594249.677     1161.428         4250        10300   649495.000  5590111.000     1413.000   SU004562.DAT   649400.299  5594249.187     1244.592         4250         9400   PZ004487.DAT   649198.452  5594249.360     1248.885         4250         9200        0.000      -28.113        0.000    -1605.396         0.00       546.16       Accept      31188.760         98.294          92          2000      4.0     0.00   Accept       -0.330      -0.330      -0.283      -0.255      -0.226      -0.211      -0.187      -0.165      -0.146      -0.140      -0.115      -0.122      -0.102      -0.093      -0.083      -0.079      -0.073      -0.059      -0.055      -0.055
    82        1     Good      203  DJ000497.raw   650098.608  5594250.123     1177.938         4250        10100   649495.000  5590111.000     1413.000   IE004340.DAT   648800.006  5594262.346     1300.947         4250         8800   NK004580.DAT   648599.489  5594258.243     1332.810         4250         8600        0.000      -21.820        0.000    -1728.545         0.00       783.50       Accept      62067.890         97.892          91          2000      4.7     0.00   Accept       -0.221      -0.333      -0.300      -0.196      -0.179      -0.224      -0.152      -0.153      -0.138      -0.129      -0.113      -0.110      -0.095      -0.097      -0.069      -0.068      -0.069      -0.050      -0.059      -0.056
    82        2     Good      210  DJ000497.raw   650098.608  5594250.123     1177.938         4250        10100   649495.000  5590111.000     1413.000   NN004167.DAT   649004.373  5594235.967     1258.615         4250         9000   IE004340.DAT   648800.006  5594262.346     1300.947         4250         8800        0.000      -31.104        0.000    -1728.545         0.00       798.07       Accept      44351.102         99.563          91          2000      4.7     0.00   Accept       -0.371      -0.390      -0.433      -0.324      -0.271      -0.302      -0.224      -0.219      -0.183      -0.176      -0.153      -0.146      -0.136      -0.125      -0.098      -0.098      -0.098      -0.086      -0.079      -0.083
    82        3     Good      202  DJ000497.raw   650098.608  5594250.123     1177.938         4250        10100   649495.000  5590111.000     1413.000   JD005523.DAT   650198.711  5594250.192     1169.603         4250        10200   IF004631.DAT   650400.235  5594249.162     1153.252         4250        10400        0.000     -288.030        0.000    -1727.503         0.00       157.56       Accept        945.001         60.430          89          2000    -13.7     0.00   Accept       -3.789      -3.365      -2.769      -2.662      -2.359      -2.096      -1.954      -1.671      -1.516      -1.329      -1.259      -1.144      -1.091      -0.913      -0.876      -0.797      -0.614      -0.630      -0.563      59.187
    82        4     Good      201  DJ000497.raw   650098.608  5594250.123     1177.938         4250        10100   649495.000  5590111.000     1413.000   IF004631.DAT   650400.235  5594249.162     1153.252         4250        10400   XL000590.DAT   650600.501  5594247.423     1137.749         4250        10600        0.000     -161.224        0.000    -1727.503         0.00       445.70       Accept       4775.667         88.518          89          2000     51.0     0.00   Accept       -2.086      -2.002      -1.887      -1.506      -1.267      -1.308      -1.058      -1.026      -0.810      -0.832      -0.684      -0.700      -0.634      -0.542      -0.363      -0.418      -0.432      -0.311     -29.544     -60.082
    82        5     Good      198  DJ000497.raw   650098.608  5594250.123     1177.938         4250        10100   649495.000  5590111.000     1413.000   IM003980.DAT   649998.506  5594250.055     1186.273         4250        10000   VJ000076.DAT   649801.394  5594253.342     1203.853         4250         9800        0.000     -462.831        0.000    -1728.545         0.00       254.73       Accept        951.332         59.856          91          2000      4.0     0.00   Accept       -6.059      -5.423      -4.875      -4.246      -3.800      -3.492      -3.094      -2.736      -2.433      -2.212      -2.008      -1.844      -1.713      -1.542      -1.355      -1.211      -1.096      -0.996      -0.904      -0.844
    82        6     Good      202  DJ000497.raw   650098.608  5594250.123     1177.938         4250        10100   649495.000  5590111.000     1413.000   NK004580.DAT   648599.489  5594258.243     1332.810         4250         8600   MT002653.DAT   648397.950  5594247.329     1346.191         4250         8400        0.000      -30.236        0.000    -1728.545         0.00      1439.14       Accept      82273.285         96.613          91          2000      5.5     0.00   Accept       -0.395      -0.523      -0.535      -0.376      -0.331      -0.394      -0.250      -0.253      -0.219      -0.193      -0.181      -0.178      -0.148      -0.146      -0.104      -0.096      -0.109      -0.088      -0.094      -0.099
    82        7     Good      195  DJ000497.raw   650098.608  5594250.123     1177.938         4250        10100   649495.000  5590111.000     1413.000   PZ004488.DAT   649198.452  5594249.360     1248.885         4250         9200   NN004167.DAT   649004.373  5594235.967     1258.615         4250         9000        0.000      -43.946        0.000    -1728.545         0.00       815.51       Accept      32076.684         95.068          91          2000      4.5     0.00   Accept       -0.492      -0.581      -0.534      -0.417      -0.387      -0.403      -0.313      -0.294      -0.266      -0.244      -0.218      -0.210      -0.192      -0.175      -0.143      -0.133      -0.129      -0.107      -0.111      -0.105
    82        8     Good      200  DJ000497.raw   650098.608  5594250.123     1177.938         4250        10100   649495.000  5590111.000     1413.000   OX004111.DAT   650799.873  5594249.677     1153.511         4250        10800   PK002497.DAT   650999.710  5594250.506     1166.985         4250        11000        0.000      -57.976        0.000    -1728.545         0.00       675.20       Accept      20130.941         95.620          91          2000      3.9     0.00   Accept       -0.876      -0.664      -0.539      -0.547      -0.490      -0.387      -0.410      -0.333      -0.305      -0.273      -0.256      -0.223      -0.214      -0.192      -0.183      -0.159      -0.132      -0.128      -0.109      -0.090
    82        9     Good      200  DJ000497.raw   650098.608  5594250.123     1177.938         4250        10100   649495.000  5590111.000     1413.000   XL000590.DAT   650600.501  5594247.423     1137.749         4250        10600   OX004111.DAT   650799.873  5594249.677     1153.511         4250        10800        0.000     -101.449        0.000    -1727.503         0.00       661.39       Accept      11262.268         93.348          89          2000    -70.9     0.00   Accept       -1.354      -0.828      -0.655      -0.851      -0.848      -0.535      -0.688      -0.485      -0.548      -0.408      -0.445      -0.332      -0.334      -0.318      -0.421      -0.281      -0.181      -0.273      29.037      59.614
    82       10     Good      202  DJ000497.raw   650098.608  5594250.123     1177.938         4250        10100   649495.000  5590111.000     1413.000   PK002497.DAT   650999.710  5594250.506     1166.985         4250        11000   QH003824.DAT   651200.019  5594249.798     1191.855         4250        11200        0.000      -49.867        0.000    -1728.545         0.00       914.28       Accept      31691.687         96.329          91          2000      4.7     0.00   Accept       -0.853      -0.610      -0.539      -0.551      -0.501      -0.389      -0.416      -0.348      -0.310      -0.285      -0.263      -0.232      -0.226      -0.194      -0.193      -0.166      -0.136      -0.136      -0.109      -0.096
    82       11     Good      201  DJ000497.raw   650098.608  5594250.123     1177.938         4250        10100   649495.000  5590111.000     1413.000   PP003541.DAT   649599.681  5594243.496     1222.649         4250         9600   SU004563.DAT   649400.299  5594249.187     1244.592         4250         9400        0.000      -76.970        0.000    -1728.545         0.00       490.58       Accept      11017.125         94.768          91          2000      3.9     0.00   Accept       -0.935      -0.883      -0.820      -0.680      -0.607      -0.579      -0.484      -0.451      -0.403      -0.362      -0.320      -0.298      -0.276      -0.261      -0.221      -0.198      -0.182      -0.160      -0.148      -0.144
    82       12     Good      203  DJ000497.raw   650098.608  5594250.123     1177.938         4250        10100   649495.000  5590111.000     1413.000   VJ000076.DAT   649801.394  5594253.342     1203.853         4250         9800   PP003541.DAT   649599.681  5594243.496     1222.649         4250         9600        0.000     -105.186        0.000    -1728.545         0.00       281.81       Accept       4631.088         89.149          91          2000      3.0     0.00   Accept       -0.997      -0.949      -0.849      -0.721      -0.654      -0.616      -0.526      -0.469      -0.420      -0.381      -0.346      -0.321      -0.294      -0.264      -0.227      -0.202      -0.186      -0.171      -0.161      -0.151
    82       13     Good      202  DJ000497.raw   650098.608  5594250.123     1177.938         4250        10100   649495.000  5590111.000     1413.000   SU004563.DAT   649400.299  5594249.187     1244.592         4250         9400   PZ004488.DAT   649198.452  5594249.360     1248.885         4250         9200        0.000      -39.726        0.000    -1728.545         0.00       454.79       Accept      19788.651         97.370          91          2000      3.9     0.00   Accept       -0.458      -0.474      -0.415      -0.348      -0.316      -0.316      -0.264      -0.226      -0.198      -0.182      -0.171      -0.165      -0.148      -0.127      -0.107      -0.100      -0.096      -0.081      -0.082      -0.075
    83        1     Good      203  DJ000498.raw   649899.950  5594251.698     1195.063         4250         9900   649495.000  5590111.000     1413.000   IE004341.DAT   648800.006  5594262.346     1300.947         4250         8800   NK004581.DAT   648599.489  5594258.243     1332.810         4250         8600        0.000      -27.198        0.000    -1787.471         0.00       690.80       Accept      45400.078         98.281          98          2000      4.7     0.00   Accept       -0.415      -0.379      -0.328      -0.300      -0.281      -0.239      -0.231      -0.195      -0.184      -0.177      -0.129      -0.158      -0.115      -0.106      -0.085      -0.088      -0.074      -0.061      -0.058      -0.044
    83        2     Good      210  DJ000498.raw   649899.950  5594251.698     1195.063         4250         9900   649495.000  5590111.000     1413.000   NN004168.DAT   649004.373  5594235.967     1258.615         4250         9000   IE004341.DAT   648800.006  5594262.346     1300.947         4250         8800        0.000      -40.401        0.000    -1787.471         0.00       690.57       Accept      30553.236         99.716          98          2000      4.7     0.00   Accept       -0.598      -0.546      -0.478      -0.434      -0.398      -0.351      -0.328      -0.280      -0.263      -0.245      -0.198      -0.214      -0.172      -0.163      -0.133      -0.129      -0.120      -0.097      -0.096      -0.083
    83        3     Good      202  DJ000498.raw   649899.950  5594251.698     1195.063         4250         9900   649495.000  5590111.000     1413.000   JD005524.DAT   650198.711  5594250.192     1169.603         4250        10200   IF004632.DAT   650400.235  5594249.162     1153.252         4250        10400        0.000     -160.659        0.000    -1786.334         0.00       421.40       Accept       4685.488         88.863          96          2000    235.5     0.00   Accept       -2.845      -2.552      -2.384      -1.886      -1.552      -1.473      -1.309      -1.131      -0.985      -0.889      -0.766      -0.548      -0.642      -0.449      -0.412      -0.420      -0.395     -89.343    -171.650    -176.278
    83        4     Good      201  DJ000498.raw   649899.950  5594251.698     1195.063         4250         9900   649495.000  5590111.000     1413.000   IF004632.DAT   650400.235  5594249.162     1153.252         4250        10400   XL000591.DAT   650600.501  5594247.423     1137.749         4250        10600        0.000      -37.799        0.000    -1776.810         0.00       235.88       Accept      11087.917         94.560          78          2000   -847.0     0.00   Accept        0.062       0.174       0.228      -0.071      -0.104       0.019      -0.046       0.012      -0.106      -0.014      -0.118      -0.185      -0.117      -0.240      -0.166      -0.081      -0.011      76.662     147.581     152.658
    83        5     Good      201  DJ000498.raw   649899.950  5594251.698     1195.063         4250         9900   649495.000  5590111.000     1413.000   IM003981.DAT   649998.506  5594250.055     1186.273         4250        10000   JD005524.DAT   650198.711  5594250.192     1169.603         4250        10200        0.000     -361.101        0.000    -1787.471         0.00       187.54       Accept        928.330         59.773          98          2000      3.8     0.00   Accept       -4.301      -3.909      -3.485      -3.076      -2.780      -2.562      -2.287      -2.022      -1.824      -1.653      -1.521      -1.395      -1.321      -1.184      -1.043      -0.935      -0.844      -0.770      -0.702      -0.651
    83        6     Good      198  DJ000498.raw   649899.950  5594251.698     1195.063         4250         9900   649495.000  5590111.000     1413.000   IM003981.DAT   649998.506  5594250.055     1186.273         4250        10000   VJ000077.DAT   649801.394  5594253.342     1203.853         4250         9800        0.000      -45.967        0.000    -1787.471         0.00    168431.20       Accept    6549609.285          0.005          98          2000      5.4     0.00   Accept       -0.756      -0.691      -0.629      -0.567      -0.518      -0.467      -0.431      -0.374      -0.339      -0.313      -0.271      -0.259      -0.238      -0.215      -0.187      -0.170      -0.155      -0.135      -0.123      -0.115
    83        7     Good      202  DJ000498.raw   649899.950  5594251.698     1195.063         4250         9900   649495.000  5590111.000     1413.000   NK004581.DAT   648599.489  5594258.243     1332.810         4250         8600   MT002654.DAT   648397.950  5594247.329     1346.191         4250         8400        0.000      -36.519        0.000    -1787.471         0.00      1280.59       Accept      62680.210         97.365          98          2000      5.3     0.00   Accept       -0.660      -0.584      -0.505      -0.462      -0.424      -0.367      -0.352      -0.302      -0.283      -0.266      -0.194      -0.220      -0.164      -0.160      -0.122      -0.130      -0.113      -0.081      -0.093      -0.075
    83        8     Good      195  DJ000498.raw   649899.950  5594251.698     1195.063         4250         9900   649495.000  5590111.000     1413.000   PZ004489.DAT   649198.452  5594249.360     1248.885         4250         9200   NN004168.DAT   649004.373  5594235.967     1258.615         4250         9000        0.000      -59.727        0.000    -1787.471         0.00       682.90       Accept      20437.374         94.232          98          2000      4.5     0.00   Accept       -0.818      -0.739      -0.672      -0.612      -0.563      -0.502      -0.464      -0.414      -0.371      -0.341      -0.285      -0.291      -0.253      -0.231      -0.194      -0.183      -0.169      -0.141      -0.131      -0.118
    83        9     Good      200  DJ000498.raw   649899.950  5594251.698     1195.063         4250         9900   649495.000  5590111.000     1413.000   OX004112.DAT   650799.873  5594249.677     1153.511         4250        10800   PK002498.DAT   650999.710  5594250.506     1166.985         4250        11000        0.000      -44.799        0.000    -1787.471         0.00       796.59       Accept      31783.912         95.910          98          2000      4.1     0.00   Accept       -0.588      -0.550      -0.482      -0.398      -0.358      -0.344      -0.289      -0.249      -0.230      -0.192      -0.212      -0.173      -0.175      -0.156      -0.149      -0.122      -0.105      -0.113      -0.097      -0.095
    83       10     Good      200  DJ000498.raw   649899.950  5594251.698     1195.063         4250         9900   649495.000  5590111.000     1413.000   XL000591.DAT   650600.501  5594247.423     1137.749         4250        10600   OX004112.DAT   650799.873  5594249.677     1153.511         4250        10800        0.000      -77.049        0.000    -1776.810         0.00       880.04       Accept      20294.403         95.028          79          2000      4.2     0.00   Accept       -1.007      -0.905      -0.835      -0.733      -0.646      -0.594      -0.533      -0.473      -0.425      -0.359      -0.370      -0.296      -0.319      -0.283      -0.254      -0.219      -0.199      -0.189      -0.175      -0.180
    83       11     Good      202  DJ000498.raw   649899.950  5594251.698     1195.063         4250         9900   649495.000  5590111.000     1413.000   PK002498.DAT   650999.710  5594250.506     1166.985         4250        11000   QH003825.DAT   651200.019  5594249.798     1191.855         4250        11200        0.000      -40.840        0.000    -1787.471         0.00      1053.64       Accept      46115.559         95.842          98          2000      4.8     0.00   Accept       -0.600      -0.558      -0.507      -0.434      -0.383      -0.370      -0.313      -0.281      -0.246      -0.210      -0.229      -0.176      -0.189      -0.171      -0.169      -0.137      -0.119      -0.122      -0.103      -0.098
    83       12     Good      201  DJ000498.raw   649899.950  5594251.698     1195.063         4250         9900   649495.000  5590111.000     1413.000   PP003542.DAT   649599.681  5594243.496     1222.649         4250         9600   SU004564.DAT   649400.299  5594249.187     1244.592         4250         9400        0.000     -138.610        0.000    -1786.322         0.00       368.44       Accept       4748.203         88.470          95          2000      3.9     0.00   Accept       -1.755      -1.581      -1.387      -1.239      -1.118      -1.011      -0.917      -0.789      -0.741      -0.681      -0.597      -0.556      -0.513      -0.460      -0.399      -0.360      -0.323      -0.290      -0.272      -0.242
    83       13     Good      203  DJ000498.raw   649899.950  5594251.698     1195.063         4250         9900   649495.000  5590111.000     1413.000   VJ000077.DAT   649801.394  5594253.342     1203.853         4250         9800   PP003542.DAT   649599.681  5594243.496     1222.649         4250         9600        0.000     -318.454        0.000    -1786.322         0.00       164.94       Accept        925.214         60.044          95          2000      3.1     0.00   Accept       -3.021      -2.676      -2.434      -2.202      -1.978      -1.814      -1.653      -1.473      -1.312      -1.199      -1.074      -0.980      -0.956      -0.842      -0.728      -0.669      -0.605      -0.543      -0.495      -0.458
    83       14     Good      202  DJ000498.raw   649899.950  5594251.698     1195.063         4250         9900   649495.000  5590111.000     1413.000   SU004564.DAT   649400.299  5594249.187     1244.592         4250         9400   PZ004489.DAT   649198.452  5594249.360     1248.885         4250         9200        0.000      -62.118        0.000    -1787.471         0.00       383.26       Accept      11028.447         95.145          98          2000      3.9     0.00   Accept       -0.794      -0.717      -0.648      -0.566      -0.518      -0.465      -0.419      -0.376      -0.320      -0.288      -0.260      -0.258      -0.211      -0.202      -0.174      -0.163      -0.148      -0.131      -0.119      -0.111
    84        1     Good      203  DL000687.raw   650505.375  5594251.942     1143.061         4250        10500   649495.000  5590111.000     1413.000   IE004342.DAT   648800.006  5594262.346     1300.947         4250         8800   NK004582.DAT   648599.489  5594258.243     1332.810         4250         8600        0.000      -14.785        0.000    -1550.355         0.00       999.93       Accept     104852.633         96.072          87          2000      4.5     0.00   Accept       -0.193      -0.173      -0.161      -0.156      -0.140      -0.123      -0.098      -0.103      -0.079      -0.080      -0.071      -0.080      -0.059      -0.053      -0.048      -0.049      -0.048      -0.033      -0.047      -0.032
    84        2     Good      210  DL000687.raw   650505.375  5594251.942     1143.061         4250        10500   649495.000  5590111.000     1413.000   NN004169.DAT   649004.373  5594235.967     1258.615         4250         9000   IE004342.DAT   648800.006  5594262.346     1300.947         4250         8800        0.000      -20.281        0.000    -1550.355         0.00      1063.65       Accept      81309.288         97.753          87          2000      4.3     0.00   Accept       -0.248      -0.236      -0.228      -0.205      -0.184      -0.169      -0.152      -0.134      -0.107      -0.107      -0.091      -0.097      -0.081      -0.074      -0.062      -0.062      -0.055      -0.036      -0.047      -0.037
    84        3     Good      202  DL000687.raw   650505.375  5594251.942     1143.061         4250        10500   649495.000  5590111.000     1413.000   IF004633.DAT   650400.235  5594249.162     1153.252         4250        10400   JD005525.DAT   650198.711  5594250.192     1169.603         4250        10200        0.000     -668.351        0.000    -1549.760         0.00       435.86       Accept       1010.662         62.100          85          2000      9.4     0.00   Accept       -9.125      -8.251      -7.343      -6.345      -5.685      -5.240      -4.566      -4.001      -3.548      -3.187      -2.876      -2.672      -2.462      -2.220      -1.922      -1.761      -1.555      -1.382      -1.290     -43.946
    84        4     Good      201  DL000687.raw   650505.375  5594251.942     1143.061         4250        10500   649495.000  5590111.000     1413.000   XL000592.DAT   650600.501  5594247.423     1137.749         4250        10600   IF004633.DAT   650400.235  5594249.162     1153.252         4250        10400        0.000     -186.874        0.000    -1550.355         0.00       740.02       Accept       6139.384          5.131          87          2000      1.6     0.00   Accept       -1.000      -0.889      -0.773      -0.680      -0.601      -0.549      -0.488      -0.437      -0.384      -0.359      -0.321      -0.311      -0.286      -0.251      -0.221      -0.209      -0.190      -0.164      -0.165      -0.149
    84        5     Good      201  DL000687.raw   650505.375  5594251.942     1143.061         4250        10500   649495.000  5590111.000     1413.000   JD005525.DAT   650198.711  5594250.192     1169.603         4250        10200   IM003982.DAT   649998.506  5594250.055     1186.273         4250        10000        0.000     -151.582        0.000    -1549.760         0.00       478.39       Accept       4890.985         89.096          85          2000    -20.7     0.00   Accept       -1.401      -1.226      -1.052      -1.031      -0.934      -0.808      -0.814      -0.714      -0.658      -0.615      -0.581      -0.524      -0.484      -0.439      -0.423      -0.343      -0.329      -0.306      -0.274      42.527
    84        6     Good      198  DL000687.raw   650505.375  5594251.942     1143.061         4250        10500   649495.000  5590111.000     1413.000   IM003982.DAT   649998.506  5594250.055     1186.273         4250        10000   VJ000078.DAT   649801.394  5594253.342     1203.853         4250         9800        0.000      -73.931        0.000    -1550.355         0.00       543.29       Accept      11392.991         93.979          87          2000      4.3     0.00   Accept       -0.952      -0.886      -0.804      -0.711      -0.650      -0.591      -0.531      -0.475      -0.420      -0.386      -0.353      -0.327      -0.303      -0.273      -0.241      -0.220      -0.195      -0.179      -0.169      -0.151
